label,value,cnt
Overload qorunması və siqnal,Bəli,1
Switch,Analog Optical Switches,1
PoE / qidalanma,802.3at default (USB işləyir); 802.3af — USB söndürülür; maks. 17 W; injector GPI-130 ayrı,1
RAID dəstəyi,"PERC H355/H745/H755, HBA355i",1
Adaptive Sync,NVIDIA G-SYNC ULTIMATE,1
Prosessor,"Intel Xeon w3-2425 (6 nüvə / 12 axın, 3.0–4.4 GHz, 15 MB keş, 130 W, ECC)",1
Part Number,A59Z0AA,1
Laptop Form Factor,"14.1""",1
Part number,RZ04-05410200-R3M1,1
Port,2 × SFP+ FC,1
Gecə görüntüsü,30 metrə (98 ft) qədər güclü infraqırmızı gecə görmə məsafəsi,1
USB-A çıxış,5 V/3A · 9 V/2A · 12 V/1.5A · 22.5 W maks,1
Part number,R4W02A,1
Yükgötürmə,100 kq / 220 lb,1
NGFW,1 Gbps,4
Portlar,USB-C · 3.5 mm headset,1
Model,MF110 (2E-MF110UB),1
Növ,"2.5"" portativ xarici HDD (StoreJet 25M3, Military Green)",2
Type of converter,condenser elektret,3
Çəki,41 q,2
Material və Çəki,"Dayanıqlı ABS plastik, Çəki: 700 q",1
Ekran,5.6 düym (640 × 480 piksel) 24-bit sensorlu rəngli TFT LCD (Touchscreen),2
OEM kod,CF351A,1
İş temperaturu,0 - 55 °C,1
Rəng,Eclipse Gray,2
Cərəyan / güc,16 A / 4000 W (250 V),3
Model,CD161,1
Tilt angle,from -5 to +15°,5
Part number,TRX-25GSFP28-SR,1
Volume,0.0158 m³,1
Part Number,872V1AA,1
Portlar,Thunderbolt 4,1
Xüsusiyyət,curved displays support / compatible tabletop thickness: 10-84 mm,1
İnterfeys,"USB 3.2 Gen 2, USB-C (10 Gbps), USB 2.0 geriyə uyğun",3
Barkod,680576170446,1
Seriya,Evolve 30 II,1
Maks. güc,15 W,2
Ethernet,2 × GbE PoE,1
Əlavə,"USB 2.0 pass-through, polad çərçivə, NGENUITY",1
Model,YNDX-00571,1
Energy Star 2.0 · Zəmanət,3 il (batareya daxil),1
Çəki,695 q,3
Part number,SRV2KI,1
Çəki,112 q,3
Adjustable length range,50 - 87 mm,1
Konfiqurasiya,1024 m x 64,3
Protective functions,reliable protection against scratches,1
Speaker,40 mm,3
Tipik doldurma müddəti,8 saat,5
Qoruma,"Qalın yastıqlı, zərbəuducu noutbuk bölməsi; crash-proof",1
Kontakt örtüyü,Gold,16
Part number,QXG-2G2T-I225,1
Random IOPS,1300K / 1500K-ə qədər,2
Mikrofon,geri çəkilən HyperClear Cardioid (100 Hz – 10 kHz),1
Part number,RZ03-05270100-R3M1,1
Storage nəzarətçi,"HPE MSA 2060 16Gb FC storage controllers, 4-ports each",1
İnterfeys,SFP28,2
Ölçülər,214 × 212 × 44 mm,1
Çəki,138.85 q,6
Montaj,Divar/masa (hospitality),1
Yaddaş,256 GB-a qədər MicroSD (U3/Class 10) dəstəyi,1
Effective Output Power,360 W,1
İlk səhifə,8.5 san,1
Model,MM105,1
Tip,Layer 3 Managed PoE Switch,1
Xüsusiyyət,Plug & Play,9
Part number,2E-MF300WCAPIBARABL,1
Yaddaş,"16 GB (1×16 GB) DDR4-2933 RDIMM; 24 DIMM, maks. 1.5 TB",1
Model,GXP1400,1
Əlavə xüsusiyyətlər,VESA 100x100; Dinamik,2
Room Correction,Bəli,8
Maqnit,MagSafe uyğun; iPhone 15 Pro/Pro Max ProRes yazısı üçün,3
DPI,1200 dpi 1800-2400-3200 DPI,1
Forma,288-pin DIMM,5
Qoruma,Surge protector (parafudr) + işıqlı On/Off açar,1
Güc,950 VA / 520 W,1
Korpus,"Metal / plastik, Rubber",1
Genişlənmə,"1 × PCIe x16 half-height, 1 × PCIe x1, M.2 SSD, M.2 WLAN, 2 × SATA 3.0",1
Təyinat,Yüksək TDP Xeon Scalable (Ice Lake) prosessorları üçün,1
Xüsusiyyətlər,"Green Ethernet texnologiyası ilə enerjiyə qənaət, Fansız səssiz dizayn (Fanless), Masaüstü və divara montaj imkanı, Quraşdırma tələb etmir (Plug and Play)",1
Çəki,87 q,1
Tip,8-bay rackmount NAS,1
Part number,FG-70 q,1
Model,HP Z2 Tower G1i,7
Görüntü imkanı,2560 × 1440 @ 240 Hz (280 Hz OC),1
Maks. ötürmə,25 Mbit/s,1
Uplink,12 × 1/10 q SFP+,1
AC çıxış gücü,1.800 W (ümumi),1
Simsiz bağlantı,Daxili Wi-Fi (802.11a/b/g) və Bluetooth 2.0 (simsiz qulaqlıqlar üçün),2
Sound power,20 W,1
Çıxış qabı,150 Vərəq,13
Part number,KVR32N22D8/16WP,1
Forma,Stereo (over-ear),2
PD,100 W pass-through,1
Kontakt örtüyü,Qızıl örtük,1
Sertifikat,FCC,2
RAM,4 GB SODIMM DDR4 (max. 32 GB; ECC dəstəyi QTS 5.0.1+),1
Prosessor,Intel Core Ultra 7 255U,1
Number of scroll wheels,1,11
Power Supply Unit,external,6
Model,X707 (P/N: 35008 / Nexode Pro 45 W Dual USB-C GaN Fast Charger EU),1
Dalğa uzunluğu,TX 1330nm / RX 1270nm,1
Port 1 qücü,65 W,1
Portlar,"HDMI, DP, USB, USB-C",1
Part number,RZ01-05240400-R3G1,1
Radio,2x2:2 (2.4 GHz) + 2x2:2 (5 GHz) · 4 spatial streams,1
Model,Dell Pro 15 Essential PV15250,4
Part Number,6N0A9AA,1
Görüntü imkanı,2K 3MP Ultra HD (2304 × 1296 px),1
Çəki,670 q,3
Standart,1000BASE-SX,2
Zəmanət,1 il (Dell Customer Kit),23
Ölçülər,425 × 304 × 154 mm,1
Tutum,128GB,5
Model,Dell SE2726HG,1
Giriş bağlantısı,IEC C14,1
Oxuma / yazma,100 / 85 MB/s,2
Batareya,"Li-ion 3300 mAh, 12 saat musiqi",4
Çəki,3.25 kq,2
Diaqonal,"86""",4
WLAN,"Band steering, Smart Mesh/WDS, 802.11r/k/v fast roaming, DCS",1
Bağlantı,3.5 mm + splitter uzatma,1
Gecə görmə,IR gecə görmə,1
Səs,THX Spatial / 7.1,4
Seriya,Evolve3 75,1
Rəng,"Black, cızıqlara davamlı örtük",2
Yazma,CMR + FC-MAMR; 10 disk helium,1
Operativ yaddaş,32GB (2x16GB) DDR5 4400,1
High Dynamic Range 10 (HDR10),Bəli,2
LED,rəngli,1
Mikrofon,Çıxarılan boom + daxili MEMS,2
Çəki,100 q,3
Görüntü imkanı,3440 × 1440 @ 120 Hz,2
Seriya,addlink P5 Value Memory,2
Runtime (full/half),"~1 dəq @900 W / ~6,5 dəq @450 W",1
Autentifikasiya,WPA2-PSK / WPA2-Enterprise,1
Mikrofon,Boom microphone,10
Part number,470-ACEY,1
Çəki / ölçülər,6.2 kq (13.7 lbs) | 613.1x220x383.5 mm,2
Part number,R0Q47A,1
Sensor / DPI,6200 DPI,1
Çəki,"8,56 kq",1
Client,128-ə qədər,1
Platforma RAM,"16 × DDR4 RDIMM ECC, maks. 1 TB, 2933 MT/s",3
Part number,AG8GB32C22N4S,1
Aylıq yük,30000 səh/ay,3
Switch,Razer Green (clicky),2
Səs gücü,60 Vt,4
Part number,470-ACEU,1
Part number,RZ03-05003500-R3M1,1
Long-term load,3500 V,1
IP,IP20,26
Part number,BA0C7ET,1
Adaptive Sync,"FreeSync Premium Pro, G-SYNC Compatible",1
Şəbəkə,2 × 2.5GbE; 10GbE PCIe ilə opsional,11
Xüsusiyyət,Soft Touch (yan əlavələr) / Plug-and-Play / Quiet keys (sol və sağ),1
Montaj,Divar / desktop,1
Ekran,"19.5"" HD+ (1600×900) 200 nit 60 Hz",1
Part number,RZ06-05210100-R3M1,1
Standart,USB 3.0,1
Part number,470-AAVG,1
Part number,EWS7928P,1
Ölçü (E×D×H),440 × 310 × 44 mm,2
Qidalanma,100–240 V AC; min 24.7 W; max 45.6 W,1
Ölçü / çəki,"240 × 105 × 26 mm, 610 q",1
Key Features,Switching indication / 3 USB type A ports,2
Effective Output Power,480 W,1
Model,Lenovo ThinkCentre neo 50a 27 Gen 5,7
Model,HP S7 Pro 724pu WUXGA,1
Xüsusiyyət,Backlight / 12 media keys,1
Hotkeys,"Volume, mute, play/pause, skip",1
İlk səhifə (qara),7 san,7
Diaqonal,"75""",4
Protokollar,"SNMP v1/v2/v3, Modbus TCP/RTU, BACnet IP/MSTP, HTTP/HTTPS, REST API",1
İlk səhifə (rəng),"25,3 san",3
Volume,0.1267 m³,1
Part number,P28028-B21,1
Zəmanət,5 il və ya Percentage Used (CrystalDiskInfo),2
Minimum diagonal,"55""",1
Çəki,2.09 kq,1
Part number,KF580C38RWAK2-32,1
CPU,"Quad-core ARM Cortex-A55 (1,8 GHz-ə qədər)",1
EAN,0196188043080,1
Uyğunluq,HPE ProLiant DL360 Gen10 Plus 8SFF,1
İş temperaturu,Sənaye: −40 °C ~ 85 °C,1
Standart,25GBASE-SR,3
On-die ECC,Var,4
PSU,"250 W, 100–240 V (EU variant)",1
Faks,Standart,2
Model,EC703,1
Model,US270,1
Hündürlük tənzimləmə,Bəli,2
OS Compatibility,Windows 10/7 and previous versions / Mac OS / Linux,1
Aşkarlama,"AI insan, hərəkət, xətt keçmə və ərazi mühafizə funksiyaları",1
Maks. sürət,~2.0 Gbps (1733 Mbps 5 GHz + 300 Mbps 2.4 GHz),1
Tövsiyə olunan həcm,250–1500 səh/ay,1
Part Number,519P0AA,1
BLF,8 virtual düymə,1
Compact and Travel-Friendly,"Weighing just 130 q and sized to fit in your pocket (10.58×6.87×1.31 cm), this lightweight power bank is perfect for on-the-go charging, offering convenience and freedom without cables.",1
Ümumi çıxış,5 V/3A Max,1
İdarəetmə,EnGenius Cloud · SkyKey · ezMaster · Standalone Web GUI,1
RAM,"4 GB DDR4 SODIMM (1 slot, maks. 16 GB, ECC dəstəyi)",1
Radio / sürət,4×4:4 — 1 148 Mbps (2.4 GHz) + 2 400 Mbps (5 GHz),1
Part number,2E-F2725B-01.EU,1
Part number,AP32GAH750S-1,1
OS,Android 11,1
Maks. sürət,~1.2 Gbps (867 Mbps 5 GHz + 300 Mbps 2.4 GHz),1
Zəmanət,24 months,22
Ölçülər,382 × 309 × 211.5 mm,2
Part number,KVR56U46BS8-16,1
Batareya,Klaviatura 2×AAA; Siçan 1×AA,1
Data sürəti,5 Gbit/s,5
Ölçülər (H×E×D),120 × 130 × 365 mm,2
The sensitivity (negative value),"-30 dB +/- 3 dB / 0 dB = 1 V / Pa, 1 kHz",1
Uyğunluq,"iPhone 15/14/13/12 seriyaları (30 dəqiqədə 60% sürətli şarj), iPad, AirPods, Samsung Galaxy, Xiaomi və s.",1
İşıqlandırma,Çoxrəngli Rainbow LED arxa işıqlandırma,1
Volume,0.0122 m³,1
Seriya,Evolve3 85,1
Part Number,7D389AA,1
Aylıq yük,5000 səhifəyə qədər,1
Eyni anda TCP sessiyalar,600 000,2
Form faktor,"Tower, 165 × 105 × 226.5 mm",1
Uyğunluq,"Xbox Series X|S, Xbox One, PC",1
Material,yırtılma/su davamlı polyester,3
Portlar,32 × RJ-45 10/100/1000 PoE+ + 16 × RJ-45 100/1000/2500 PoE+,1
Uyğunluq,"15.6""",1
Həcm,28 L,1
Ölçülər (H×E×D),19 × 14 × 39 cm,2
Çəki,"26,1 kq (57.54 lb)",1
Rozetka standartı,EU,2
Kamera,2 MP CMOS,1
Ölçülər,392 × 419 × 247.5 mm,1
Konstruksiya,"Qaynaqlı çərçivə; (19"")³ — yanlara da 19"" avadanlıq",1
UVC,1.1,1
Portlar,4x USB 3.2 Gen 1; 1x USB-B 3.2 Gen 1; 1x HDMI; 1x DP; 1x VGA,1
Model,YNDX-00027GRY,1
Seriya,Razer BlackWidow V4 X,2
Batareya gərginliyi,14.4 V,1
Part Number,683L9AA,1
Model,HD112,1
Retail P/N,AP1TBAS2280Q4U-1,2
Seriya,Razer Ornata V3 X,1
Kabel,1 m Euro power cord,1
RAM,"32 GB DDR5 UDIMM (4 slot, maks. 192 GB, opsional ECC)",2
Şəbəkə (bu konfiq),Onboard LOM 2 × 1 GbE (chassis),1
Part number,AP32GAH357U-1,1
RAM,"8 GB DDR4 UDIMM (2 slot, maks. 64 GB, ECC dəstəyi)",2
Əlavə xüsusiyyətlər,VESA 100x100,8
Prosessor,"Intel Core Ultra 7 155U (12 nüvə / 14 axın, 1.7–4.8 GHz, 12 MB keş, 15 W, NPU ~11 TOPS)",9
İdarəetmə,Instant On app / cloud / lokal Web GUI; statik marşrutlaşdırma (L3),7
Maximum efficiency,≥ 92% (Mains mode) / ≥ 87% (Battery mode) / ≥ 97% (ECO mode),1
Part number,N1401VNB5620EMEA01,1
Giriş gərginliyi,12 V,2
Format,Full-size,5
Dərinlik,228.6 mm,8
Uyğunluq,Windows / macOS / Android / Linux,14
Tip,Intelligent video bar / conferencing camera,1
Part Number,8C525AA,1
Device type,line-interactive,5
Tip,"Enterprise Layer 2 access kommutator, AOS-CX, 1/10 q uplink (HPE Aruba CX 6100)",5
İdarəetmə / Diaqnostika,DDM / DOM dəstəyi,1
Çəki,"101,44 kq",1
Tip,"Seagate IronWolf Pro 3.5"" NAS HDD (1–24 yuvalı NAS, 24/7)",2
Prosessor,"Intel Core Ultra 5 135H | 14C(4P+8E+2LPE)/18T, turbo 4.6 GHz, 18MB cache",1
Part number,2E-MPC110,1
Part number,7MD67A,1
Konstruksiya,Daxili asqı (anti-vibration),3
Model,LetraTag 91201 (S0721610 / 91221) Ağ Plastik Lent,1
Ölçülər,132 × 132 × 201 mm,3
Ekran ölçüsü,"34.14""",1
Model,HP Color LaserJet Pro MFP M182n,1
Kənarsız çap,Bəli (A3-ə qədər),1
Qidalanma,PoE IEEE 802.3at (16 W) və ya daxil olan 12 V / 1.5 A adapter,1
Part number,RZ04-04730100-R3M1,1
Model,CAB-CONSOLE-USB-MICRO (USB Type-A to USB Type-B Micro),1
Erqonomika,for right-handers / left-handers,23
Model,HP Z2 G1i Tower,1
Anten,4 daxili + BLE,1
Portlar,8 × RJ-45 10/100/1000 PoE+ + 2 × RJ-45 10/100/1000,1
Güc,10.000 VA / 10.000 W,3
Tip,Daxili taçpadlı (touchpad) yığcam simsiz ofis və Smart TV klaviaturası,1
Model,24189-899-999,1
Təyinat,"HP ProLiant, Dell PowerEdge, Lenovo ThinkServer və digər server platformaları.",1
İdarəetmə,"Nebula Cloud, Web, CLI, Telnet, SNMP",2
Tətbiq,Alisa ilə Ev,74
Part number,2E-MF220WB,1
Model,Dell Pro E2726HS,1
Oxuma / yazma,500 / 350 MB/s,1
Tip,FortiVoice 20E4 — kiçik ofis IP PBX,1
Qidalanma,"xarici adapter, 100–240 V AC; max istehlak 78.69 W",1
Part number,CF213A,1
Çəki,"4,5 kq",1
Tip,1.25Gbps Bi-Directional (BiDi) WDM SFP Transceiver Modul,2
Part number,786710-B21,1
Headset,RJ9 / USB / Bluetooth,1
Çıxış,3.5 mm stereo,1
Həll (rəng),1200 x 1200 dpi,2
Çəki,740 q,1
Tip,"Simsiz oyun qulaqlığı (Cloud III Wireless, qara-qırmızı)",1
Tip,Ağıllı rozetka,3
Cavab müddəti,0.5 ms (Extreme),1
Layout,Rus,1
Tip,8-bay tower NAS,2
Non-blocking,55 Gbps,1
Uyğunluq,HPE BladeSystem c-Class interconnect və 10Gb SFP+ SR portlar,1
Ekran,"27"" 4K UHD (3840×2160) IPS/UWVA 350 nit 60 Hz",1
Yaddaş,3072 MB,1
Model,YNDX-00535,1
Part number,FG-51 q,1
Ölçülər,370 × 110 × 390 mm,1
Part number,KVR32S22D8/32,1
Part number,ST4000VN006,1
Part number,9U5J5UT,1
Model,RG-RAP6262(G),1
İdarəetmə,iDRAC9 Enterprise,1
CAS Gecikməsi,CL15 (RA0),1
Şarj,4.5 saat,1
Tip,2-xətli etibarlı biznes IP telefonu,1
Material,Jaquard high dense waterproof nylon,1
Ölçülər,153.92 × 292.10 × 324.36 mm,1
Diaqnostika,DDM / DOM dəstəyi,1
Mikrofon tipi,Boom/Built-in microphone,1
Wireless Connection,Wi-Fi,2
Ölçü,176 × 58 × 17 mm (6.93 × 2.28 × 0.67 in),1
EAN,0196548125326,1
Part number,RZ01-05330100-R3G1,1
Montaj,Divar,1
Inputs,LAN / AV RCA,2
Keyboard layout,ENG/UKR/RUS,2
Model,Dell E2223HN,1
Çəki,298–322 q,2
Maks. çıxış cərəyanı,3 A,1
Maks. ötürmə,10000 Mbit/s,2
Tipik doldurma müddəti,6–8 saat,3
Seriya,addlink P4 Value Memory,2
Tutum,600 GB,4
Giriş cərəyanı,3 A,3
Part number,B66TWAT,1
Giriş qabı,350 Vərəq,7
Portlar,3 × USB-C + 1 × USB-A,1
Cavab müddəti,5 ms (fast) / 10 ms (typical),1
Part number,RZ03-04110100-R3M1,1
Part number,EWS356-FIT,1
Sürət,2.4 GHz 575 Mbps + 5 GHz 2400 Mbps = AX3000 (160 MHz dəstəyi),1
Dərinlik,40.4 mm,3
Model,GCC6010,1
Dimensions (ShhVhT),"430 x 310 x 59, cm 420 x 302 x 39 (internal dimensions)",1
Şəbəkə,1× RJ45 Gigabit,2
Colour temperature,3000K-4000K-5000K-6500K,1
Portlar,Telefon + qulaqlıq + saat (3-in-1),1
Avtomobil girişi,12/24 V,3
Part number,R8R44A,1
Batareya,90 saat,2
Model,BX750MI-GR,1
Quraşdırma,"19"" 1U rack (power cord + rack kit daxildir)",2
Çəki,6.81 kq (stend ilə) / 4.92 kq (stendsiz),1
Portlar,48 × RJ-45 10/100/1000 Mbps + 4 × 10 Gigabit SFP+ — cəmi 52 port,1
Inputs,"USB 5V, 1A - yalnız şarj üçün / 2x HDMI / 1x DP / headphone jack",1
Part number,13QF0038GV,1
Material,nylon,5
Operativ yaddaş,32 GB DDR5-5600,2
Kapasitet,2.304 Wh,1
Tip,Simsiz kompakt optik siçan,1
Port,2 × SFP28 (25 q/10 q),1
Tutum,1300 səhifə,1
Qrafika,Intel Arc 130 V,1
Relative humidity,0-95% (non-condensing),2
Part number,RZ01-05570100-R3G1,1
Simsiz şəbəkə,Intel Wi-Fi 7 + Bluetooth 5.4,8
PoE,IEEE 802.3af/at · Büdcə: 185 W (listing),1
Part number,SEDC600 m/3840 q,1
Model,Dell P2425HE,1
Korpus,simmetrik,1
Ekran,"15"" Full HD (1920×1080) IPS/UWVA, sensorlu 400 nit",1
Bağlantı,Wireless,1
"Full ""arm"" length",436 mm,1
Capacity,35 l,1
Part number,R8W31A,1
Part number,450-BFFL,1
İş yükü,550 TB/il; 24/7,2
Model,GHP630,1
Montaj,Tavan/divar dəsti daxildir,1
Height of CPU cooler (max.),145 mm,2
Batareya,500 mAh daxili akkumulyator,1
DWPD,0.17,3
EAN,0198415435569,1
Part Number,BS1T9AA,1
Keycap,HyperX Pudding (ABS); light bar; media + volume çarxı,1
Video,HDMI 1.4 out 3840×2160 @60 Hz,1
Model,GWN7660EM,1
Giriş,"Hardwire (common/split bypass), 230 V (176–288 V)",2
Format,A3,6
Tip,"M.2 NVMe SSD (S90 Lite, DRAM-less + HMB)",1
Optik həll,1200 x 1200 dpi,1
Ekran ölçüsü,"31.5""–32""",2
İnterfeys,USB 2.0 / Wireless 2.4GHz,1
Təyinat,Office,1
Part number,D0VG1ET,1
Model,26599-899-999,1
Komplekt,mouse,6
Random 4K,94000 IOPS oxuma / 59000 IOPS yazma,1
Xüsusiyyətlər,"AI ilə gücləndirilmiş Mesh şəbəkə, Seamless Roaming (tək şəbəkə adı altında evin hər yerində kəsintisiz internet), 120-dən çox cihaza eyni vaxtda stabil bağlantı, Valideyn nəzarəti (Parental Controls), WPA3 şifrələmə, Deco tətbiqi ilə 3 dəqiqəyə asan quraşdırma",1
Ölçülər,100 × 50 × 100 mm,1
Audio,2×5 W dinamik,2
Tip,FortiSwitch 248E-FPOE — Layer 2/3 Secure Access Full PoE+,1
Wi-Fi,Simsiz Wi-Fi bağlantısı,1
Ötürmə,131 Mpps,2
Səs,"HD voice, full-duplex speakerphone",1
Ölçü,396x173x44 mm,2
Superior Safety,"Your safety is our priority. The iPhone and watch charger stand is equipped with over-temperature, foreign objects, and short circuit protection, ensuring a more efficient and safer charging experience. The iPhone charging surface is made of silicone material, preventing scratches on your phone. The base of the charger is equipped with a counterweight iron, making it more stable",1
Part number,S0F35A,1
Outputs,Coaxial (SPDIF) / Audiooutput 3.5 mm,1
Tip,"GaN divar adapteri (Uno RG robot dizayn, TFT ekran)",1
Form faktor,OCP 3.0,1
Part number,2E-MF140UB,1
Runtime (full/half),"~3,5 dəq @10 kW / ~11 dəq @5 kW",1
Tətbiq,"AP, IP kamera, VoIP",1
Tip,"Xarici HDD (2.5"")",19
Tip,DDR4 SODIMM (ValueRAM),3
En,163.1 mm,1
Ölçülər,90.7 × 90.7 × 190 mm (hər modul),1
İnterfeys,USB-A,1
Güc,2.000 VA / 1.600 W,1
Model,YNDX-00017,1
Hündürlük,11.9 mm,1
Qoruma,16 A miniatür avtomat (MCB),2
Model,HP ZBook Power 16 G11,3
Tip,Cloud idarə olunan Layer 2+ 10 q SFP+ aggregate kommutator (EnGenius Cloud),1
HDCP versiya,1.4,1
Portlar,"HDMI, DP, USB-C, USB, RJ45",1
Model,Lenovo 800 Self-Charging Bluetooth Keyboard,1
Model,Lenovo ThinkBook Bluetooth Silent Mouse,1
Model,CM193,1
Power bank & device charging at once,Bəli,2
Səs,"HD voice, full-duplex speakerphone, G.711/G.722/G.729A/Opus",1
USB-C,"USB-C upstream (DP Alt Mode) + Power Delivery 90 Vt; 2 × USB-C down, 3 × USB-A down",1
Komplekt,AA battery / USB wireless receiver / mouse,16
Ekran,"3.5"" rəngli, 480×320, arxa işıq",1
Ekran,"34"", WQHD 3440x1440, 300 nits, 60 Hz",1
Çəki,17.74 oz,1
Model,GRP2612P,1
Texnologiya,Ən son nəsil GaNInfinity / GaN II yarımkeçirici çipi (ənənəvi adapterlərdən 21% daha kiçik və qızmayan korpus),1
IPS,4.5 Gbps,2
Bağlantı,Bluetooth 5.2 + 2.4 GHz USB dongle,1
Host interfeys,USB 3.2 Gen 1 (3.1 Gen 1) Type-C,4
EAN,4549821491216,1
Duty cycle,30 000 səh/ay; tövsiyə: 2 500,3
Type,monitor lamp,1
Cavab müddəti,~1 ms / 0.5 ms,1
Çəki,3.54 kq,1
Dimensions (ShhVhT),41x29.5x10 cm,1
Düymə sayı,105,2
Portlar,48 × 10/100/1000BASE-T,3
EAN,0197029365996,1
Minimum diagonal,"43""",1
Üzlük,parça,2
Uzunluq,3 m,9
Ötürmə,260 Mpps,3
"Power, W",5,1
Rəng,Tünd boz,1
Part number,50H55UT,1
For documents,✔️,5
Input current (max),3 A,1
Güc,90 W,1
Part number,KVR56S46BS6-8,1
Çəki,1.1 kq,2
Günəş paneli girişi,"500 W Max., VOC 12–60 VDC, 10 A",1
Çəki,254 q,1
Səs gücü,5 Vt,5
Maksimum güc (Pm),120 W,1
Part number,ECS1008P,1
Tam ad,HPE SN1610E 32Gb 2-port Fibre Channel Host Bus Adapter,1
Çəki,190 q,2
Seriya,Apacer AS2280Q4U,4
Klaviş,1,2
Sensor,Focus Pro 45K Optical Gen-2,2
Yaddaş,512GB PCIe SSD,6
Portlar,24 × RJ-45 10/100/1000 PoE+,4
Portlar,48 × RJ-45 10/100/1000 Mbps + 2 × SFP 100/1000 Mbps (cəmi 50 port),2
Dönmə,5400 rpm,1
Mobil çap,"Mopria Print Service, HP ePrint, AirPrint, Google Cloud Print",2
Qrafika,Intel Graphics,9
Çəki,580 q,1
Part number,2E-S-1015CD,1
Ekran ölçüsü,23 düym (58.42 sm),1
Uzunluq,0.5 m,1
Part number,TS-464U-RP-8 q,1
Düymə,çoxdüyməli ergonomik,1
Tip,"Orijinal Xerox toner kartrici (High Capacity, DMO)",4
Part number,RZ03-04460100-R3M1,1
Model,HD103,1
Model,Dell Pro Smart Dock SD25,1
Tutum,1 TB,23
Dimensions (ShhVhT),39 x 29 x 5.9,1
Portlar,8 × GbE RJ45,1
Seq. oxuma/yazma,10300 / 9000 MB/s-ə qədər,4
IPsec VPN (512 byte),11.5 Gbps,3
Ethernet,1 × 2.5GbE PoE-in,2
Cable types supported,"Cat5e, Cat6, Cat7, Cat8",1
Ethernet,"RJ-45, 10/100 Mb/s",2
Part number,RZ19-05060100-R3M1,1
Volume,0.0024 m³,2
MTBF,502 509 saat,1
Ölçü,32.6 × 69.5 × 13.5 mm,2
Qida,120 W adapter,3
Çəki,4.83 kq,1
Model,RG-NBS3100-48GT4SFP-P,1
Portlar,1x USB-C 3.2 Gen 1; 4x USB 3.2 Gen 1; 1x USB-B 3.2 Gen 1; 2x HDMI; 1x DP; Thunderbolt 4; RJ45,1
Volume,0.0044 m³,1
Qulaqlıq çıxışı,1,1
Model,Dell 4TB Hard Drive SAS 12Gbps 7.2K 512n 3.5in Hot-Plug,1
Tezlik diapazonu,2.4 - 5 GHz,1
Qidalanma,802.3af PoE və ya 12 V DC (ayrıca),1
Qrafika,Intel Iris Xe,3
Quraşdırma,kompakt 1U (267 mm en),1
Equipment,USB-receiver / batteries 1xAAA / keyboard,1
Model,CP-7821-K9,1
Ekran,"27"" Full HD (1920×1080) IPS/UWVA, anti-glare",8
Type of output power,SCHUKO x4,1
Seriya,Evolve 10,1
Barkod,6971669780944,1
Laptop Form Factor,"17"" / 17.3""",1
Form faktor,"Tower, 180.2 × 329.3 × 280.8 mm",1
Model,GRP2602 W,1
Brend,Ruijie Reyee,4
Sürətli şarj texnologiyası,"Hisilicon FCP, Power Delivery, Power Delivery 3.0, Quick Charge 2.0, Quick Charge 3.0",1
Portlar,"4 × USB 3.2 Gen 1, 4 × USB 2.0 (Smart Power On arxada), HDMI 1.4b, DisplayPort 1.4, RJ-45, universal audio",1
Portlar,"HDMI, 2×DP, RJ45, USB-C upstream, 3×USB-A, 2×USB-C",1
Fan,3 × High Performance,1
Mikrofon girişi,Xeyr,3
Çəki,"63,0 kq (138.8 lb)",3
Rəng,dark olive,2
Görüntü imkanı,1920 × 1080 @ 100 Hz,9
SATA 15+7 Pin Female Connection,"2.5"""" SATA III / II / I HDD and SSD, compatible with Seagate Barracuda HDD 2.5"""", Samsung 860 EVO/850 EVO SATA III SSD, WD Blue/Green 2.5 SATA SSD, SanDisk SSD PLUS, SanDisk Ultra 3D SSD, Crucial BX500/MX500/MX300, PNY CS900, TOSHIBA TR200/Q300, DREVO X1, Gigabyte, YUCUN 2.5"""" SSD etc.",1
"Çap sürəti (rəng, ISO)",4 səh/dəq,3
Keş,18 MB,1
Tip,13-in-1 USB-C dok stansiyası,1
Part number,FN-TRAN-SFP-SR,1
Ekran ölçüsü,"24.5""",1
Part Number,A2PB2AA,1
Rəng,Iron gray,4
Part number,RZ03-05450500-R3M1,1
Tip,naqilli oyun pultu,2
EAN,0767041019599,1
Uyğunluq,"iPhone 12/11 Pro MAX/SE/XR/XS/X/6S/7 /Plus 8/6, Galaxy S20/S9/S10/S8",1
Təyinat,Qapı və pəncərə açılışının aşkarlanması,1
DWPD,100,1
Maximum diagonal,"100""",1
Uyğunluq,ProLiant DL380 Gen10+,1
EAN,0199251514661,1
TDP,135 W,1
Düymə resursu,"10 milyon klik, 19 düyməlik Anti-Ghosting",1
Təhlükəsizlik,carrier-grade,2
Prosessor,Intel Core i7-14700T,1
Portlar,"HDMI, 2×DP, USB hub, USB-C",1
Anti-Ghosting,Eyni vaxtda basılan düymələrin düzgün qeydiyyatı (19 düyməyə qədər münaqişəsiz rejim),1
Model,X513,1
Part number,SDCG3/1TB,1
Power consumption,20 W,1
Part number,460-BDXW,1
Funksiyalar,"Çap, surət, skan",19
Şarj mənbəyi,USB,8
Model,14101-46,1
Model,HP E24t G5 FHD Touch,1
Dəqiqlik,"1,5 mm, cavab <7 ms",1
Uyğunluq,PC; PS5; Xbox Series. NGENUITY : NGENUITY,2
